Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ayarlar,Chrome 94.0.4606.81,,,2021-10-14 17:31:52,2021-10-14 17:45:34,"13m - 41,210s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:31:53,2021-10-14 17:32:39,"46,459s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:31:53,2021-10-14 17:31:59,"6,617s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:32:00,2021-10-14 17:32:39,"38,356s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:32:39,2021-10-14 17:32:39,"0,709s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Ekle,Chrome 94.0.4606.81,,,2021-10-14 17:32:39,2021-10-14 17:33:35,"56,190s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:32:39,2021-10-14 17:32:43,"3,781s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Ekle.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:32:44,2021-10-14 17:33:35,"50,931s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:33:35,2021-10-14 17:33:35,"0,646s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Degistir,Chrome 94.0.4606.81,,,2021-10-14 17:33:35,2021-10-14 17:34:42,"1m - 7,022s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:33:35,2021-10-14 17:33:39,"3,421s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Degistir.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:33:39,2021-10-14 17:34:42,"1m - 2,364s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:34:42,2021-10-14 17:34:42,"0,703s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Firma Bilgileri/Firma Bilgileri,Chrome 94.0.4606.81,,,2021-10-14 17:34:43,2021-10-14 17:35:10,"27,763s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:34:43,2021-10-14 17:34:48,"5,202s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Firma Bilgileri/Firma Bilgileri.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:34:48,2021-10-14 17:35:10,"21,291s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:35:10,2021-10-14 17:35:10,"0,701s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Firma Bilgileri/On ek icin yeni yil,Chrome 94.0.4606.81,,,2021-10-14 17:35:10,2021-10-14 17:35:35,"24,317s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:35:10,2021-10-14 17:35:14,"3,839s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Firma Bilgileri/On ek icin yeni yil.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:35:15,2021-10-14 17:35:34,"19,199s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:35:34,2021-10-14 17:35:35,"0,775s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Buton Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:35:35,2021-10-14 17:36:18,"43,237s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:35:35,2021-10-14 17:35:38,"3,512s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Buton Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:35:39,2021-10-14 17:36:17,"38,516s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:36:17,2021-10-14 17:36:18,"0,699s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/On Deger Ata,Chrome 94.0.4606.81,,,2021-10-14 17:36:18,2021-10-14 17:36:56,"37,755s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:36:18,2021-10-14 17:36:21,"3,557s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/On Deger Ata.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:36:22,2021-10-14 17:36:55,"32,675s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:36:55,2021-10-14 17:36:56,"0,947s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Onizleme,Chrome 94.0.4606.81,,,2021-10-14 17:36:56,2021-10-14 17:37:34,"37,929s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:36:56,2021-10-14 17:37:00,"4,020s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Onizleme.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:37:00,2021-10-14 17:37:33,"32,692s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:37:33,2021-10-14 17:37:34,"0,708s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Tasarimi Indir,Chrome 94.0.4606.81,,,2021-10-14 17:37:34,2021-10-14 17:38:10,"36,321s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:37:34,2021-10-14 17:37:38,"4,713s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Tasarimi Indir.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:37:39,2021-10-14 17:38:09,"30,327s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:38:09,2021-10-14 17:38:10,"0,673s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Tasarim Araclari/Buton Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:38:10,2021-10-14 17:38:53,"42,990s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:38:10,2021-10-14 17:38:14,"4,538s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Tasarim Araclari/Buton Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:38:15,2021-10-14 17:38:52,"36,996s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:38:52,2021-10-14 17:38:53,"0,699s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Tasarim Araclari/Filtre Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:38:53,2021-10-14 17:39:30,"37,041s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:38:53,2021-10-14 17:38:57,"3,798s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Tasarim Araclari/Filtre Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:38:57,2021-10-14 17:39:29,"32,033s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:39:29,2021-10-14 17:39:30,"0,695s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Tasarim Araclari/Guncelle,Chrome 94.0.4606.81,,,2021-10-14 17:39:30,2021-10-14 17:40:28,"58,083s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:39:30,2021-10-14 17:39:34,"3,936s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Tasarim Araclari/Guncelle.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:39:35,2021-10-14 17:40:27,"52,685s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:40:27,2021-10-14 17:40:28,"0,812s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Tasarim Araclari/Indir,Chrome 94.0.4606.81,,,2021-10-14 17:40:28,2021-10-14 17:41:04,"35,624s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:40:28,2021-10-14 17:40:32,"3,763s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Tasarim Araclari/Indir.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:40:33,2021-10-14 17:41:03,"30,556s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:41:03,2021-10-14 17:41:04,"0,665s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Tasarim Araclari/Kopyala,Chrome 94.0.4606.81,,,2021-10-14 17:41:04,2021-10-14 17:41:40,"36,393s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:41:04,2021-10-14 17:41:07,"3,274s",PASSED
