Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Fatura,Chrome 94.0.4606.81,,,2021-10-14 17:01:45,2021-10-14 17:24:18,"22m - 32,139s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/e-Fatura Araclari/e-Fatura Olusturma/Ekle/VKN-Temel Fatura-Satis Tipinde,Chrome 94.0.4606.81,,,2021-10-14 17:01:47,2021-10-14 17:04:38,"2m - 51,143s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:01:47,2021-10-14 17:02:00,"13,671s",PASSED
"runFeatureFile(""Include/features/e-Fatura/e-Fatura Araclari/e-Fatura Olusturma/Ekle/VKN-Temel Fatura-Satis Tipinde.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:02:01,2021-10-14 17:04:37,"2m - 35,854s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:04:37,2021-10-14 17:04:38,"0,709s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/e-Fatura Araclari/e-Fatura Olusturma/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:04:38,2021-10-14 17:05:20,"42,524s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:04:38,2021-10-14 17:04:42,"4,073s",PASSED
"runFeatureFile(""Include/features/e-Fatura/e-Fatura Araclari/e-Fatura Olusturma/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:04:43,2021-10-14 17:05:20,"36,727s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:05:20,2021-10-14 17:05:20,"0,711s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/e-Fatura Araclari/e-Fatura Taslak/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:05:20,2021-10-14 17:06:03,"43,091s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:05:20,2021-10-14 17:05:24,"4,084s",PASSED
"runFeatureFile(""Include/features/e-Fatura/e-Fatura Araclari/e-Fatura Taslak/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:05:25,2021-10-14 17:06:03,"37,481s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:06:03,2021-10-14 17:06:03,"0,638s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/e-Fatura Araclari/e-Fatura Yukleme/Buton Kontrolu,Chrome 94.0.4606.81,,,2021-10-14 17:06:03,2021-10-14 17:06:35,"32,124s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:06:03,2021-10-14 17:06:08,"4,897s",PASSED
"runFeatureFile(""Include/features/e-Fatura/e-Fatura Araclari/e-Fatura Yukleme/Buton Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:06:09,2021-10-14 17:06:35,"26,062s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:06:35,2021-10-14 17:06:35,"0,659s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/e-Fatura Araclari/e-Fatura Yukleme/Excele Aktar,Chrome 94.0.4606.81,,,2021-10-14 17:06:36,2021-10-14 17:07:03,"27,149s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:06:36,2021-10-14 17:06:39,"3,964s",PASSED
"runFeatureFile(""Include/features/e-Fatura/e-Fatura Araclari/e-Fatura Yukleme/Excele Aktar.feature"")",Chrome 94.0.4606.81,,,2021-10-14 17:06:40,2021-10-14 17:07:02,"21,901s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-14 17:07:02,2021-10-14 17:07:03,"0,685s",PASSED
,,,,,,,
