Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Makbuz,Chrome 94.0.4606.81,,,2021-10-15 16:58:08,2021-10-15 17:20:45,"22m - 36,760s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Departman Ata-Geri Al,Chrome 94.0.4606.81,,,2021-10-15 16:58:09,2021-10-15 16:59:11,"1m - 1,904s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 16:58:09,2021-10-15 16:58:18,"8,509s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Departman Ata-Geri Al.feature"")",Chrome 94.0.4606.81,,,2021-10-15 16:58:18,2021-10-15 16:59:10,"52,086s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 16:59:10,2021-10-15 16:59:11,"0,706s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 16:59:11,2021-10-15 17:00:20,"1m - 9,445s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 16:59:11,2021-10-15 16:59:15,"3,751s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 16:59:15,2021-10-15 17:00:20,"1m - 4,434s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:00:20,2021-10-15 17:00:20,"0,691s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Goruntule,Chrome 94.0.4606.81,,,2021-10-15 17:00:20,2021-10-15 17:00:54,"33,290s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:00:20,2021-10-15 17:00:24,"3,496s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Goruntule.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:00:24,2021-10-15 17:00:53,"28,609s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:00:53,2021-10-15 17:00:54,"0,671s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzlari/Iptal Et-Geri Al,Chrome 94.0.4606.81,,,2021-10-15 17:00:54,2021-10-15 17:01:38,"44,179s",PASSED
