Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Raporlar,Chrome 95.0.4638.69,,,2021-11-11 10:39:02,2021-11-11 10:43:05,"4m - 3,348s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/GIB Kullanici Listesi/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-11 10:39:02,2021-11-11 10:39:49,"46,723s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:39:02,2021-11-11 10:39:09,"7,063s",PASSED
"runFeatureFile(""Include/features/Raporlar/GIB Kullanici Listesi/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:39:10,2021-11-11 10:39:48,"38,224s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:39:48,2021-11-11 10:39:49,"0,732s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/GIB Kullanici Listesi/Excel,Chrome 95.0.4638.69,,,2021-11-11 10:39:49,2021-11-11 10:40:25,"35,691s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:39:49,2021-11-11 10:39:59,"10,416s",PASSED
"runFeatureFile(""Include/features/Raporlar/GIB Kullanici Listesi/Excel.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:40:00,2021-11-11 10:40:24,"24,019s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:40:24,2021-11-11 10:40:25,"0,661s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/Izlenme Kayitlari/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-11 10:40:25,2021-11-11 10:41:10,"45,669s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:40:25,2021-11-11 10:40:32,"6,967s",PASSED
"runFeatureFile(""Include/features/Raporlar/Izlenme Kayitlari/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:40:32,2021-11-11 10:41:10,"37,361s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:41:10,2021-11-11 10:41:10,"0,662s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/Kümülatif Kontrol Raporu/Ekran Kontrolü ve Excel Aktar,Chrome 95.0.4638.69,,,2021-11-11 10:41:10,2021-11-11 10:43:05,"1m - 54,721s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:41:10,2021-11-11 10:41:15,"4,624s",PASSED
"runFeatureFile(""Include/features/Raporlar/Kümülatif Kontör Raporu/Ekran Kontrolü ve Excel Aktar.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:41:15,2021-11-11 10:43:04,"1m - 48,854s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:43:04,2021-11-11 10:43:05,"0,671s",PASSED
