Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Saklama,Chrome 95.0.4638.69,,,2021-11-11 10:31:35,2021-11-11 10:34:47,"3m - 11,454s",FAILED
,,,,,,,
Test Cases/Case Repository/e-Saklama/e-Defter/e-Defter Saklama/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-11 10:31:36,2021-11-11 10:32:13,"37,270s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:31:36,2021-11-11 10:31:43,"7,299s",PASSED
"runFeatureFile(""Include/features/e-Saklama/e-Defter/e-Defter Saklama/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:31:44,2021-11-11 10:32:12,"28,685s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:32:12,2021-11-11 10:32:13,"0,660s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Saklama/e-Defter/e-Defter Saklama/Goster,Chrome 95.0.4638.69,,,2021-11-11 10:32:13,2021-11-11 10:32:51,"37,719s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:32:13,2021-11-11 10:32:18,"5,102s",PASSED
"runFeatureFile(""Include/features/e-Saklama/e-Defter/e-Defter Saklama/Goster.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:32:19,2021-11-11 10:32:50,"31,275s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:32:50,2021-11-11 10:32:51,"0,657s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Saklama/e-Defter/e-Defter Saklama/Indir,Chrome 95.0.4638.69,,,2021-11-11 10:32:51,2021-11-11 10:33:34,"43,699s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:32:51,2021-11-11 10:32:56,"4,801s",PASSED
"runFeatureFile(""Include/features/e-Saklama/e-Defter/e-Defter Saklama/Indir.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:32:56,2021-11-11 10:33:34,"37,649s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:33:34,2021-11-11 10:33:34,"0,712s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Saklama/e-Defter/e-Defter Saklama/Yukle,Chrome 95.0.4638.69,,,2021-11-11 10:33:34,2021-11-11 10:34:12,"37,263s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:33:34,2021-11-11 10:33:40,"5,211s",PASSED
"runFeatureFile(""Include/features/e-Saklama/e-Defter/e-Defter Saklama/Yukle.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:33:40,2021-11-11 10:34:11,"30,747s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:34:11,2021-11-11 10:34:12,"0,631s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Saklama/e-Defter/e-Defter Saklama/Sil,Chrome 95.0.4638.69,,,2021-11-11 10:34:12,2021-11-11 10:34:47,"34,851s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:34:12,2021-11-11 10:34:17,"5,047s",PASSED
"runFeatureFile(""Include/features/e-Saklama/e-Defter/e-Defter Saklama/Sil.feature"")",Chrome 95.0.4638.69,,,2021-11-11 10:34:17,2021-11-11 10:34:46,"28,480s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-11 10:34:46,2021-11-11 10:34:47,"0,617s",PASSED
