Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regresyon-eArsiv-eMakbuz,Chrome 95.0.4638.69,,,2021-11-12 17:53:07,2021-11-12 18:24:58,"31m - 50,825s",FAILED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Hal Komisyoncu,Chrome 95.0.4638.69,,,2021-11-12 17:53:08,2021-11-12 17:55:05,"1m - 57,269s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:53:08,2021-11-12 17:53:12,"4,876s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Hal Komisyoncu.feature"")",Chrome 95.0.4638.69,,,2021-11-12 17:53:13,2021-11-12 17:55:04,"1m - 51,090s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:55:04,2021-11-12 17:55:05,"0,668s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Hal Satis,Chrome 95.0.4638.69,,,2021-11-12 17:55:05,2021-11-12 17:56:51,"1m - 45,683s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:55:05,2021-11-12 17:55:08,"3,202s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Hal Satis.feature"")",Chrome 95.0.4638.69,,,2021-11-12 17:55:08,2021-11-12 17:56:50,"1m - 41,673s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:56:50,2021-11-12 17:56:51,"0,630s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Iade,Chrome 95.0.4638.69,,,2021-11-12 17:56:51,2021-11-12 17:58:34,"1m - 43,320s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:56:51,2021-11-12 17:56:54,"3,544s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Iade.feature"")",Chrome 95.0.4638.69,,,2021-11-12 17:56:54,2021-11-12 17:58:33,"1m - 38,895s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:58:33,2021-11-12 17:58:34,"0,653s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Ihrac Kayitli,Chrome 95.0.4638.69,,,2021-11-12 17:58:34,2021-11-12 18:00:15,"1m - 41,222s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 17:58:34,2021-11-12 17:58:37,"3,582s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Ihrac Kayitli.feature"")",Chrome 95.0.4638.69,,,2021-11-12 17:58:38,2021-11-12 18:00:14,"1m - 36,811s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:00:14,2021-11-12 18:00:15,"0,647s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Istisna,Chrome 95.0.4638.69,,,2021-11-12 18:00:15,2021-11-12 18:01:55,"1m - 40,351s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:00:15,2021-11-12 18:00:19,"4,328s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Istisna.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:00:20,2021-11-12 18:01:55,"1m - 35,204s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:01:55,2021-11-12 18:01:55,"0,627s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Ozel Matrah,Chrome 95.0.4638.69,,,2021-11-12 18:01:55,2021-11-12 18:03:38,"1m - 42,298s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:01:55,2021-11-12 18:01:59,"3,438s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Arsiv/VKN-Elektronik-Ozel Matrah.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:01:59,2021-11-12 18:03:37,"1m - 37,951s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:03:37,2021-11-12 18:03:38,"0,650s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Arsiv/VKN-Elektronik-Satis,Chrome 95.0.4638.69,,,2021-11-12 18:03:38,2021-11-12 18:05:20,"1m - 41,847s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:03:38,2021-11-12 18:03:42,"4,251s",PASSED
