Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Okc_Islemleri,Chrome 95.0.4638.69,,,2021-11-16 09:35:11,2021-11-16 09:38:39,"3m - 28,104s",PASSED
,,,,,,,
Test Cases/Case Repository/OKC Islemleri/OKC Mali Raporlar/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-16 09:35:11,2021-11-16 09:36:03,"52,243s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:35:11,2021-11-16 09:35:17,"5,546s",PASSED
"runFeatureFile(""Include/features/OKC Islemleri/OKC Mali Raporlari/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:35:17,2021-11-16 09:36:03,"45,461s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:36:03,2021-11-16 09:36:03,"0,666s",PASSED
,,,,,,,
Test Cases/Case Repository/OKC Islemleri/OKC Mali Raporlar/Izleme Kayitlari,Chrome 95.0.4638.69,,,2021-11-16 09:36:03,2021-11-16 09:36:45,"41,397s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:36:03,2021-11-16 09:36:07,"3,350s",PASSED
"runFeatureFile(""Include/features/OKC Islemleri/OKC Mali Raporlari/Izleme Kayitlari.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:36:07,2021-11-16 09:36:44,"36,783s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:36:44,2021-11-16 09:36:45,"0,690s",PASSED
,,,,,,,
Test Cases/Case Repository/OKC Islemleri/OKC Mali Raporlar/Rapor,Chrome 95.0.4638.69,,,2021-11-16 09:36:45,2021-11-16 09:37:19,"34,350s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:36:45,2021-11-16 09:36:48,"3,443s",PASSED
"runFeatureFile(""Include/features/OKC Islemleri/OKC Mali Raporlari/Rapor.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:36:49,2021-11-16 09:37:18,"29,652s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:37:18,2021-11-16 09:37:19,"0,652s",PASSED
,,,,,,,
Test Cases/Case Repository/OKC Islemleri/OKC Mali Raporlar/XML,Chrome 95.0.4638.69,,,2021-11-16 09:37:19,2021-11-16 09:37:56,"36,914s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:37:19,2021-11-16 09:37:24,"4,554s",PASSED
"runFeatureFile(""Include/features/OKC Islemleri/OKC Mali Raporlari/XML.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:37:24,2021-11-16 09:37:55,"31,030s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:37:55,2021-11-16 09:37:56,"0,675s",PASSED
,,,,,,,
Test Cases/Case Repository/OKC Islemleri/OKC Mali Raporlar/Excele Aktar,Chrome 95.0.4638.69,,,2021-11-16 09:37:56,2021-11-16 09:38:39,"42,737s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:37:56,2021-11-16 09:38:01,"4,888s",PASSED
"runFeatureFile(""Include/features/OKC Islemleri/OKC Mali Raporlari/Excele Aktar.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:38:01,2021-11-16 09:38:38,"36,554s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:38:38,2021-11-16 09:38:39,"0,758s",PASSED
