Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Irsaliye,Chrome 95.0.4638.69,,,2021-11-16 09:01:51,2021-11-16 09:24:41,"22m - 49,873s",FAILED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/e-Irsaliye Araclari/e-Irsaliye Olusturma/Ekle/TCKN-Temel Irsaliye-Sevk Tipinde,Chrome 95.0.4638.69,,,2021-11-16 09:01:52,2021-11-16 09:06:29,"4m - 37,387s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:01:52,2021-11-16 09:02:17,"25,202s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/e-Irsaliye Araclari/e-Irsaliye Olusturma/Ekle/TCKN-Temel Irsaliye-Sevk Tipinde.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:02:18,2021-11-16 09:06:29,"4m - 11,678s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:06:29,2021-11-16 09:06:29,"0,010s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/e-Irsaliye Araclari/e-Irsaliye Olusturma/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-16 09:06:29,2021-11-16 09:07:11,"41,254s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:06:29,2021-11-16 09:06:33,"3,616s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/e-Irsaliye Araclari/e-Irsaliye Olusturma/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:06:33,2021-11-16 09:07:10,"36,081s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:07:10,2021-11-16 09:07:11,"1,016s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Ata_Geri Al,Chrome 95.0.4638.69,,,2021-11-16 09:07:11,2021-11-16 09:08:03,"52,348s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:07:11,2021-11-16 09:07:16,"5,133s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Departman Ata_Geri Al.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:07:16,2021-11-16 09:08:02,"45,980s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:08:02,2021-11-16 09:08:03,"0,686s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-16 09:08:03,2021-11-16 09:08:52,"48,825s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:08:03,2021-11-16 09:08:07,"4,275s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Ekran Kontrolu.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:08:08,2021-11-16 09:08:51,"42,996s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:08:51,2021-11-16 09:08:52,"0,748s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Gorseli Ac,Chrome 95.0.4638.69,,,2021-11-16 09:08:52,2021-11-16 09:09:27,"35,447s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:08:52,2021-11-16 09:08:56,"4,096s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Gorseli Ac.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:08:56,2021-11-16 09:09:27,"30,265s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:09:27,2021-11-16 09:09:27,"0,690s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Izleme Kayitlari,Chrome 95.0.4638.69,,,2021-11-16 09:09:27,2021-11-16 09:10:17,"49,430s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:09:27,2021-11-16 09:09:32,"4,264s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/IzlemeKayitlari.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:09:32,2021-11-16 09:10:16,"43,840s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:10:16,2021-11-16 09:10:17,"0,668s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir,Chrome 95.0.4638.69,,,2021-11-16 09:10:17,2021-11-16 09:11:04,"47,149s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:10:17,2021-11-16 09:10:21,"4,376s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/UBL-Goster-Indir.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:10:22,2021-11-16 09:11:03,"41,626s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:11:03,2021-11-16 09:11:04,"0,684s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Ata_Geri Al,Chrome 95.0.4638.69,,,2021-11-16 09:11:04,2021-11-16 09:11:44,"40,628s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:11:04,2021-11-16 09:11:08,"3,848s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Departman Ata_Geri Al.feature"")",Chrome 95.0.4638.69,,,2021-11-16 09:11:08,2021-11-16 09:11:44,"35,524s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-16 09:11:44,2021-11-16 09:11:44,"0,685s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Ekran Kontrolu,Chrome 95.0.4638.69,,,2021-11-16 09:11:44,2021-11-16 09:13:47,"2m - 2,865s",PASSED
