Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ExceleAktarVeTopluIndirme,Chrome 96.0.4664.45,,,2021-11-23 09:30:29,2021-11-23 09:53:01,"22m - 31,594s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Faturalar/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:30:30,2021-11-23 09:31:48,"1m - 17,760s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:30:30,2021-11-23 09:30:40,"10,204s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Faturalar/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:30:41,2021-11-23 09:31:47,"1m - 6,179s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:31:47,2021-11-23 09:31:48,"0,712s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Faturalar/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:31:48,2021-11-23 09:33:04,"1m - 16,037s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:31:48,2021-11-23 09:31:53,"5,423s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Faturalar/Toplu Indirme.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:31:53,2021-11-23 09:33:03,"1m - 9,518s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:33:03,2021-11-23 09:33:04,"0,651s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:33:04,2021-11-23 09:33:59,"55,299s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:33:04,2021-11-23 09:33:07,"3,476s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:33:08,2021-11-23 09:33:58,"50,539s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:33:58,2021-11-23 09:33:59,"0,696s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:33:59,2021-11-23 09:34:54,"54,774s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:33:59,2021-11-23 09:34:04,"4,814s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Gelen Kutusu/Uygulama Yanitlari/Toplu Indirme.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:34:04,2021-11-23 09:34:53,"48,881s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:34:53,2021-11-23 09:34:54,"0,664s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Giden Kutusu/Faturalar/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:34:54,2021-11-23 09:35:45,"51,218s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:34:54,2021-11-23 09:34:57,"3,553s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Giden Kutusu/Faturalar/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:34:58,2021-11-23 09:35:44,"46,583s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:35:44,2021-11-23 09:35:45,"0,697s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Giden Kutusu/Faturalar/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:35:45,2021-11-23 09:36:53,"1m - 8,499s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:35:45,2021-11-23 09:35:48,"3,546s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Giden Kutusu/Faturalar/Toplu Indirme.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:35:49,2021-11-23 09:36:53,"1m - 3,846s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:36:53,2021-11-23 09:36:53,"0,647s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Giden Kutusu/Uygulama Yanitlari/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:36:53,2021-11-23 09:37:52,"58,661s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:36:53,2021-11-23 09:37:00,"6,619s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Giden Kutusu/Uygulama Yanıtlari/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:37:00,2021-11-23 09:37:51,"50,892s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:37:51,2021-11-23 09:37:52,"0,726s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Fatura/Giden Kutusu/Uygulama Yanitlari/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:37:52,2021-11-23 09:39:01,"1m - 9,321s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:37:52,2021-11-23 09:38:01,"8,461s",PASSED
"runFeatureFile(""Include/features/e-Fatura/Giden Kutusu/Uygulama Yanıtlari/Toplu Indirme.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:38:01,2021-11-23 09:39:01,"59,258s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:39:01,2021-11-23 09:39:01,"0,874s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:39:01,2021-11-23 09:40:18,"1m - 16,253s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:39:01,2021-11-23 09:39:07,"5,543s",PASSED
"runFeatureFile(""Include/features/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:39:07,2021-11-23 09:40:17,"1m - 9,600s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:17,2021-11-23 09:40:18,"0,705s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:40:18,2021-11-23 09:41:24,"1m - 6,742s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:18,2021-11-23 09:40:24,"6,131s",PASSED
"runFeatureFile(""Include/features/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Faturalari/Toplu Indirme.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:40:24,2021-11-23 09:41:24,"59,162s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:41:24,2021-11-23 09:41:24,"0,876s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Raporlari/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:41:24,2021-11-23 09:42:18,"53,872s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:41:24,2021-11-23 09:41:31,"6,401s",PASSED
"runFeatureFile(""Include/features/e-Arsiv/e-Arsiv Hareketleri/e-Arsiv Raporlari/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:41:31,2021-11-23 09:42:18,"46,426s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:42:18,2021-11-23 09:42:18,"0,646s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:42:18,2021-11-23 09:43:28,"1m - 9,819s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:42:18,2021-11-23 09:42:23,"4,881s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:42:24,2021-11-23 09:43:28,"1m - 3,771s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:43:28,2021-11-23 09:43:28,"0,652s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Excele Aktar,Chrome 96.0.4664.45,,,2021-11-23 09:43:28,2021-11-23 09:44:35,"1m - 7,137s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:43:28,2021-11-23 09:43:45,"16,767s",PASSED
"runFeatureFile(""Include/features/e-Irsaliye/Gelen Kutusu/Irsaliyeler/Excele Aktar.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:43:45,2021-11-23 09:44:35,"49,274s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:44:35,2021-11-23 09:44:35,"0,651s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Irsaliye/Gelen Kutusu/Irsaliye Yanitlari/Toplu Indirme,Chrome 96.0.4664.45,,,2021-11-23 09:44:35,2021-11-23 09:45:39,"1m - 4,071s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:44:35,2021-11-23 09:44:40,"4,254s",PASSED
