Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Firma_Yonetimi,Chrome 96.0.4664.45,,,2021-11-23 09:53:44,2021-11-23 10:01:40,"7m - 55,893s",FAILED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,Chrome 96.0.4664.45,,,2021-11-23 09:53:44,2021-11-23 09:54:24,"40,099s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:53:44,2021-11-23 09:53:52,"7,306s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:53:52,2021-11-23 09:54:24,"31,195s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:54:24,2021-11-23 09:54:24,"0,667s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Ekran Kontrolu,Chrome 96.0.4664.45,,,2021-11-23 09:54:24,2021-11-23 09:54:56,"31,789s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:54:24,2021-11-23 09:54:28,"3,864s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Ekran Kontrolu.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:54:29,2021-11-23 09:54:55,"26,467s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:54:55,2021-11-23 09:54:56,"0,731s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,Chrome 96.0.4664.45,,,2021-11-23 09:54:56,2021-11-23 09:55:35,"39,286s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:54:56,2021-11-23 09:55:00,"4,214s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:55:01,2021-11-23 09:55:35,"33,587s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:55:35,2021-11-23 09:55:35,"0,724s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Sil,Chrome 96.0.4664.45,,,2021-11-23 09:55:35,2021-11-23 09:56:05,"29,336s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:55:35,2021-11-23 09:55:39,"3,714s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Sil.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:55:40,2021-11-23 09:56:04,"24,303s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:56:04,2021-11-23 09:56:05,"0,698s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Sil,Chrome 96.0.4664.45,,,2021-11-23 09:56:05,2021-11-23 09:56:38,"32,965s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:56:05,2021-11-23 09:56:09,"4,528s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Sil.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:56:10,2021-11-23 09:56:37,"27,154s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:56:37,2021-11-23 09:56:38,"0,682s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Ekran Kontrolu,Chrome 96.0.4664.45,,,2021-11-23 09:56:38,2021-11-23 09:57:16,"37,835s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:56:38,2021-11-23 09:56:43,"4,700s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Ekran Kontrolu.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:56:43,2021-11-23 09:57:15,"31,933s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:15,2021-11-23 09:57:16,"0,709s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle,Chrome 96.0.4664.45,,,2021-11-23 09:57:16,2021-11-23 09:57:48,"31,920s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:16,2021-11-23 09:57:20,"3,955s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:57:20,2021-11-23 09:57:47,"26,908s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:47,2021-11-23 09:57:48,"0,632s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla,Chrome 96.0.4664.45,,,2021-11-23 09:57:48,2021-11-23 09:58:23,"35,875s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:57:48,2021-11-23 09:57:51,"3,434s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:57:51,2021-11-23 09:58:23,"31,360s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:58:23,2021-11-23 09:58:23,"0,683s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Sil,Chrome 96.0.4664.45,,,2021-11-23 09:58:23,2021-11-23 09:58:59,"35,447s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:58:23,2021-11-23 09:58:30,"6,265s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Sil.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:58:30,2021-11-23 09:58:58,"28,054s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:58:58,2021-11-23 09:58:59,"0,652s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Ekran Kontrolu,Chrome 96.0.4664.45,,,2021-11-23 09:58:59,2021-11-23 09:59:31,"32,282s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:58:59,2021-11-23 09:59:04,"5,279s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Ekran Kontrolu.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:59:05,2021-11-23 09:59:30,"25,685s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:59:30,2021-11-23 09:59:31,"0,725s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,Chrome 96.0.4664.45,,,2021-11-23 09:59:31,2021-11-23 10:00:12,"40,557s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:59:31,2021-11-23 09:59:36,"4,961s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:59:37,2021-11-23 10:00:11,"34,551s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 10:00:11,2021-11-23 10:00:12,"0,675s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Sil,Chrome 96.0.4664.45,,,2021-11-23 10:00:12,2021-11-23 10:00:40,"28,283s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 10:00:12,2021-11-23 10:00:16,"4,682s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Sil.feature"")",Chrome 96.0.4664.45,,,2021-11-23 10:00:17,2021-11-23 10:00:39,"22,757s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 10:00:39,2021-11-23 10:00:40,"0,668s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla,Chrome 96.0.4664.45,,,2021-11-23 10:00:40,2021-11-23 10:01:40,"59,586s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 10:00:40,2021-11-23 10:01:01,"20,942s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla.feature"")",Chrome 96.0.4664.45,,,2021-11-23 10:01:01,2021-11-23 10:01:39,"37,777s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 10:01:39,2021-11-23 10:01:40,"0,641s",PASSED
