Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Zarflar,Chrome 96.0.4664.45,,,2021-11-23 09:38:42,2021-11-23 09:57:58,"19m - 16,226s",PASSED
,,,,,,,
Test Cases/Case Repository/Zarflar/Gelen Zarflar/Ekran Kontrolu,Chrome 96.0.4664.45,,,2021-11-23 09:38:42,2021-11-23 09:40:06,"1m - 24,059s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:38:42,2021-11-23 09:38:55,"12,396s",PASSED
"runFeatureFile(""Include/features/Zarflar/Gelen Zarflar/Ekran Kontrolu.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:38:55,2021-11-23 09:40:06,"1m - 10,472s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:06,2021-11-23 09:40:06,"0,697s",PASSED
,,,,,,,
Test Cases/Case Repository/Zarflar/Gelen Zarflar/Indir,Chrome 96.0.4664.45,,,2021-11-23 09:40:06,2021-11-23 09:40:52,"45,979s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:06,2021-11-23 09:40:13,"6,563s",PASSED
"runFeatureFile(""Include/features/Zarflar/Gelen Zarflar/Indir.feature"")",Chrome 96.0.4664.45,,,2021-11-23 09:40:13,2021-11-23 09:40:52,"38,306s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:52,2021-11-23 09:40:52,"0,669s",PASSED
,,,,,,,
Test Cases/Case Repository/Zarflar/Gelen Zarflar/Izleme Kayitlari,Chrome 96.0.4664.45,,,2021-11-23 09:40:52,2021-11-23 09:41:55,"1m - 2,702s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 09:40:52,2021-11-23 09:41:00,"7,714s",PASSED
