Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regresyon-eFatura-eIrsaliye,Chrome 96.0.4664.45,,,2021-11-23 16:34:58,2021-11-23 17:15:13,"40m - 15,795s",FAILED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Kamu-Ihrac Kayitli,Chrome 96.0.4664.45,,,2021-11-23 16:34:58,2021-11-23 16:37:46,"2m - 47,891s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:34:58,2021-11-23 16:35:08,"9,149s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Fatura/VKN-Kamu-Ihrac Kayitli.feature"")",Chrome 96.0.4664.45,,,2021-11-23 16:35:08,2021-11-23 16:37:45,"2m - 37,344s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:37:45,2021-11-23 16:37:46,"0,947s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Kamu-Istisna,Chrome 96.0.4664.45,,,2021-11-23 16:37:46,2021-11-23 16:40:00,"2m - 13,710s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:37:46,2021-11-23 16:37:50,"3,974s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Fatura/VKN-Kamu-Istisna.feature"")",Chrome 96.0.4664.45,,,2021-11-23 16:37:51,2021-11-23 16:39:59,"2m - 8,367s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:39:59,2021-11-23 16:40:00,"0,816s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Kamu-Ozel Matrah,Chrome 96.0.4664.45,,,2021-11-23 16:40:00,2021-11-23 16:42:13,"2m - 13,137s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:40:00,2021-11-23 16:40:05,"4,988s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Fatura/VKN-Kamu-Ozel Matrah.feature"")",Chrome 96.0.4664.45,,,2021-11-23 16:40:06,2021-11-23 16:42:12,"2m - 6,430s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:42:12,2021-11-23 16:42:13,"0,741s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Kamu-Satis,Chrome 96.0.4664.45,,,2021-11-23 16:42:13,2021-11-23 16:44:52,"2m - 38,519s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:42:13,2021-11-23 16:42:17,"3,924s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Fatura/VKN-Kamu-Satis.feature"")",Chrome 96.0.4664.45,,,2021-11-23 16:42:18,2021-11-23 16:44:51,"2m - 33,235s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:44:51,2021-11-23 16:44:52,"0,869s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Kamu-Tevkifat,Chrome 96.0.4664.45,,,2021-11-23 16:44:52,2021-11-23 16:47:33,"2m - 41,477s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:44:52,2021-11-23 16:44:56,"4,604s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Fatura/VKN-Kamu-Tevkifat.feature"")",Chrome 96.0.4664.45,,,2021-11-23 16:44:57,2021-11-23 16:47:32,"2m - 35,627s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 96.0.4664.45,,,2021-11-23 16:47:32,2021-11-23 16:47:33,"0,663s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Fatura/VKN-Temel Fatura-Iade,Chrome 96.0.4664.45,,,2021-11-23 16:47:33,2021-11-23 16:49:39,"2m - 5,572s",PASSED
